# DiscoverSubnet Version 2.32 Report
# Generated: 2025-11-12 15:42:52
# IP Ranges Scanned: 192.168.12.20-183
# SNMP Communities: public, medialinks
# Max Parallel Scans: 12
# Total Devices Found: 12
#
Status;Name;Location;Type;IP(s)
OK;XSX-21;Windsor;XSCEND;192.168.12.21,192.168.12.22,192.168.12.22,192.168.12.21
OK;XSX-23;Windsor;XSCEND;192.168.12.23,192.168.12.24,192.168.12.24,192.168.12.23
OK;48X6C-1;MLI-LAB Windor;MDX-48X6C;192.168.12.91
OK;48X6C-2;MLI-LAB Windor;MDX-48X6C;192.168.12.92
OK;MDP3020_0000000115;[No Location Found];MDP3020;192.168.12.121
OK;MDP3020_M310000251;[No Location Found];MDP3020;192.168.12.122
OK;ESPN;No Location Found;MD8000SX;192.168.12.150
OK;CNN;MLI-LAB Windor;MD8000EX;192.168.12.170,192.168.12.171
OK;ABC;MLI-LAB Windor Windor;MD8000;192.168.12.175,192.168.12.176
OK;32C-2;MLI-LAB Windor;MDX-32C;192.168.12.182
OK;32C-1;MLI-LAB Windor;MDX-32C;192.168.12.181
OK;2040 1;Switches;MDX2040;192.168.12.173
